video,tracker,avg_iou,avg_fps
Human6,MOSSE,0.0000,9172
Human6,MedianFlow,0.0551,1372
Human7,KCF,0.1719,267
Human7,CSRT,0.7470,48
Human7,MOSSE,0.3128,3276
Human7,MedianFlow,0.3905,2912
Human8,KCF,0.0219,575
Human8,CSRT,0.6244,48
Human8,MOSSE,0.4714,3528
Human8,MedianFlow,0.0853,2673
Jogging,KCF,0.0508,495
Jogging,CSRT,0.6993,48
Jogging,MOSSE,0.6723,3221
Jogging,MedianFlow,0.1704,3238
Jumping,KCF,0.0385,1074
Jumping,CSRT,0.7446,74
Jumping,MOSSE,0.0477,9747
Jumping,MedianFlow,0.2375,2667
KiteSurf,KCF,0.1527,1317
KiteSurf,CSRT,0.4954,58
KiteSurf,MOSSE,0.0378,16600
KiteSurf,MedianFlow,0.1463,2371
Lemming,KCF,0.0204,274
Lemming,CSRT,0.2454,46
Lemming,MOSSE,0.1255,3852
Lemming,MedianFlow,0.2810,997
Liquor,KCF,0.6099,181
Liquor,CSRT,0.6688,37
Liquor,MOSSE,0.3081,1315
Liquor,MedianFlow,0.2170,961
Man,KCF,0.1808,982
Man,CSRT,0.8214,64
Man,MOSSE,0.1455,11080
Man,MedianFlow,0.1813,4157
Matrix,KCF,0.0053,938
Matrix,CSRT,0.0846,65
Matrix,MOSSE,0.0000,8253
Matrix,MedianFlow,0.0142,1365
Mhyang,KCF,0.6939,193
Mhyang,CSRT,0.7279,57
Mhyang,MOSSE,0.7508,3318
Mhyang,MedianFlow,0.8675,2784
MotorRolling,KCF,0.0774,371
MotorRolling,CSRT,0.0804,38
MotorRolling,MOSSE,0.0000,2546
MotorRolling,MedianFlow,0.1082,2894
MountainBike,KCF,0.0645,433
MountainBike,CSRT,0.6542,49
MountainBike,MOSSE,0.7700,3603
MountainBike,MedianFlow,0.2242,2360
RedTeam,KCF,0.4766,784
RedTeam,CSRT,0.5171,54
RedTeam,MOSSE,0.0668,12998
RedTeam,MedianFlow,0.0223,4575
Shaking,KCF,0.0048,392
Shaking,CSRT,0.6696,49
Shaking,MOSSE,0.0000,5029
Shaking,MedianFlow,0.3344,2303
Singer1,KCF,0.3527,90
Singer1,CSRT,0.8001,43
Singer1,MOSSE,0.0000,1451
Singer1,MedianFlow,0.7592,2158
Singer2,KCF,0.0424,532
Singer2,CSRT,0.0320,48
Singer2,MOSSE,0.6645,1881
Singer2,MedianFlow,0.0646,2754
Skater,KCF,0.0447,285
Skater,CSRT,0.5989,49
Skater,MOSSE,0.4728,2178
Skater,MedianFlow,0.4910,2741
Skater2,KCF,0.1792,384
Skater2,CSRT,0.5552,46
Skater2,MOSSE,0.0506,1875
Skater2,MedianFlow,0.1627,3444
Skating2,KCF,0.0954,312
Skating2,CSRT,0.3446,38
Skating2,MOSSE,0.0702,1186
Skating2,MedianFlow,0.0603,2671
Skiing,KCF,0.0087,1533
Skiing,CSRT,0.0493,56
Skiing,MOSSE,0.0000,15995
Skiing,MedianFlow,0.0532,2430
Soccer,KCF,0.0486,322
Soccer,CSRT,0.1807,46
Soccer,MOSSE,0.0923,3744
Soccer,MedianFlow,0.0749,2617
Subway,KCF,0.0495,1010
Subway,CSRT,0.6408,66
Subway,MOSSE,0.0000,8709
Subway,MedianFlow,0.1603,2673
Suv,KCF,0.3849,364
Suv,CSRT,0.2422,58
Suv,MOSSE,0.4830,4384
Suv,MedianFlow,0.4397,3638
Sylvester,KCF,0.3585,336
Sylvester,CSRT,0.6539,57
Sylvester,MOSSE,0.4061,4878
Sylvester,MedianFlow,0.4455,3092
Tiger1,KCF,0.0352,316
Tiger1,CSRT,0.7208,45
Tiger1,MOSSE,0.0720,2484
Tiger1,MedianFlow,0.1614,1033
Tiger2,KCF,0.0093,389
